tweet_text,geo_latitude,geo_longitude,hotspot_id
el amanecer y mi anormalidad. #amanecer #playa #locura #beio @ club piedras coloradas (oficial) https://t.co/ovd57ttdry,-32.2229344,-58.13145106,1
"el amanecer nunca fue tan lindo como ese día @ población, libertador… https://t.co/os64vl9j0h",-34.45,-71.55,2
el primer rayito del jueves.   #lapazbcs #paceños #playa #bcs #bajacaliforniasur #mx #amanecer… https://t.co/qn964qvc6p,24.1405,-110.312,3
¡el amanecer nos provee de la energía para vivir al máximo! ¡listo para entrenamiento especial!… https://t.co/dayb32d4ki,20.9667,-89.6167,4
amanecer en bucaramanga_bonita 🌄😌 #sunrise #bucaramanga #amanecer #sayyeath #naturaleza… https://t.co/jluqn9urfk,7.10148704,-73.10662093,5
"cuando amanecer en la cama de los papás es tan importante, que la… https://t.co/niawosmoda",6.2359,-75.5751,6
"cada amanecer es una nueva oportunidad... @ la plata, buenos aires https://t.co/dmcqpehlb7",-34.9167,-57.9333,7
amanecer despejado... que así transcurra todo el día... con los pies en la tierra buscando el… https://t.co/pjc3csxxnm,12.12123623,-86.24542236,8
qué chiquito se siente uno al ver un amanecer así. gracias dios por tu creación! #brc… https://t.co/8l14o73gxe,-41.13280867,-71.33857902,9
los barrenadores @ amanecer en la playa https://t.co/l2upbnvzmr,-37.33602622,-57.02460051,10
