tweet_text,geo_latitude,geo_longitude,hotspot_id
#atardecer llegando a casa . . . . #chilegram #chile #chillan #sunset #sun #bosque #tree #nature… https://t.co/pgwaxj37gn,-36.6085832,-72.08493297,1
"atardecer!! #pinto #chile🇨🇱 #amomitrabajo❤️ en pinto, chile https://t.co/7cyxkcgcst",-36.7,-71.9,1
atardecer de otoño 🍂 #foto #photo #atardecer #sunset #wildlab_udec #udec #outdoor #color… https://t.co/tcbk2k2hn7,-36.6,-72.1167,1
#sinfiltro #atardecer en partido de exaltación de la cruz https://t.co/kzydyf8uf9,-34.29414444,-59.09926667,2
volviendo a uno de mis ritos preferidos: esperar el atardecer en algún rincón rural.… https://t.co/bjccxhmigq,-34.2938796,-59.0981974,2
"atardecer de todos los colores #quito #clouds # sunset @ quito, ecuador https://t.co/1thfw1rlwr",-0.25,-78.5833,3
"atardecer! 🌆#sunset en quito, ecuador https://t.co/jirdqv17yq",-0.25,-78.5833,3
"el mismo atardecer, diferentes colores  #southamerica #ecuador #quito #visitsouthamerica #sunset… https://t.co/1sy12migvt",-0.25,-78.5833,3
carapungo miamis  jajajajajaja 🌄  #sky #skylovers #sunset #shine #atardecer #goodnight #fire… https://t.co/jcfspyekfy,-0.25,-78.5833,3
"#quellón al atardecer... recalando desde canal puyuhuapi para descargar... m/n orca chono,… https://t.co/ndmcq0zujg",-43.118916,-73.616392,4
"atardecer en el cabo, la guajira. valió la pena. @ el cabo, la guajira, colombia https://t.co/h1nonbtuoq",12.2,-72.1333,5
atardecer en #riohacha #sunset #laguajira #marcaribe #caribecolombiano @ riohacha https://t.co/vckmlr00tb,11.54416667,-72.90694444,6
dulce atardecer @ villa florida https://t.co/nbkjewsegf,-26.3833,-57.15,7
"colores que enamoran! #sepia #atardecer #nole #lluvia @ santa lucía, canelones, uruguay https://t.co/vfi2yfc9be",-34.4533,-56.3906,8
yo quería iluminar pero sólo aprendí a arder   📷 @laurapixurri @ el atardecer de la vida https://t.co/mc265a4bxp,-15.28418511,-65.390625,9
"atardecer #ruta hermoso sol q nos dice hasta mañana🌞 @ dolores, buenos aires https://t.co/kskukxf92q",-36.3333,-57.6667,10
