tweet_text,geo_latitude,geo_longitude,hotspot_id
just posted a photo @ urbanización mirador del bosque https://t.co/ilpc28e2tz,10.1849024,-66.9005666,1
just posted a photo @ urbanización mirador del bosque https://t.co/0qknghwpze,10.1849024,-66.9005666,1
se feliz eso es lo único que importa! @ urbanización mirador del bosque https://t.co/t4eqrhiwnf,10.1849024,-66.9005666,1
y tu que has echo para mejorar? @ urbanización mirador del bosque https://t.co/rc4c6bdss6,10.1849024,-66.9005666,1
un buen café para un gran día @ parque ecologico el bosque https://t.co/w5idgabjdz,-16.4471761,-71.53675998,2
la vida es linda si la sabes disfrutar 🤠 @ café del bosque https://t.co/2iibzzdu8h,-34.42714867,-57.25214994,3
ready‼️ ⛔️summer color festival ⛔️ café del bosque- playa fomento (colonia) 🔊🎊🎁🎉🔊 #martinpanizza… https://t.co/rn0grdw3p3,-34.42714867,-57.25214994,3
"que rico huele (@ bosque de @chapultepec_mx in ciudad de méxico, df) https://t.co/7izbhzsh1u",19.42155405,-99.18419189,4
"i'm at centro t2 in bosque de las lomas, mexico d.f. https://t.co/s1ng5zjgjf",19.3781291,-99.26012327,4
uno que si toca #mexicanfolk #asturias #music #guitarist @ centro cultural del bosque inba https://t.co/ompmry2zc6,19.42386287,-99.19536043,4
"asi luce hoy la puerta principal de la entrada al bosque de chapultepec  ""entrada de los… https://t.co/dsr9rsg9wa",19.42823199,-99.18564672,4
queriendo y no 😂😂 @ lago del bosque de chapultepec https://t.co/xlo7t0xkv3,19.423714,-99.185078,4
"i'm at bosque de @chapultepec_mx in ciudad de méxico, df https://t.co/yql8vyhpog https://t.co/6669meivty",19.421396,-99.18457042,4
"turisteando (@ bosque de @chapultepec_mx in ciudad de méxico, df) https://t.co/f7k8lju9pa https://t.co/fhwtm3fmbq",19.42205972,-99.18039044,4
#micumple32🎂#family#faltomiesposo en restaurante el lago bosque de chapultepec https://t.co/ockh7ukdrn,19.4377669,-99.1877707,4
"km mañaneros (@ bosque de @chapultepec_mx in ciudad de méxico, df w/ @alex_riguez) https://t.co/nnlq0b84an https://t.co/v4yquhgwyd",19.42228576,-99.18360246,4
"lo que aprendí en el viaje: no mames, está chingón! 🙄😜 (@ bosque de @chapultepec_mx in ciudad de méxico, df) https://t.co/uhibahwg4j",19.42211176,-99.18114206,4
más días así...👭🌥🍃💛 @ lago del bosque de chapultepec https://t.co/neb931udpv,19.423714,-99.185078,4
"#tagdf @alcatelmobilemx (@ centro cultural del bosque in mexico, df) https://t.co/70unjvjiap",19.42358627,-99.19517005,4
acaba de publicar una foto @ lago del bosque de chapultepec https://t.co/bsjzowi8or,19.423714,-99.185078,4
"#tagcdmx (@ centro cultural del bosque in mexico, df) https://t.co/rjdqmrbkxa",19.42358627,-99.19517005,4
amo este lugar 🌳🌲 @ bosque de chapultepec ... méx. df https://t.co/m0qxve8swl,19.42657488,-99.16811712,4
¡de regreso a las pistas! #adidasrunning 💥🏃🏻👊🏻 @ bosque de tlalpan https://t.co/zur7bnkc2i,19.37446487,-99.15358134,4
"intento #2 de ver un panda 🐼 (@ bosque de @chapultepec_mx in ciudad de méxico, df) https://t.co/cvjf3hifr0",19.42205972,-99.18039044,4
i'm at tianguis orgánico bosque de agua https://t.co/jeagh9dqr8,19.39111146,-99.16150482,4
i'm at drogas la rebaja #2 armenia el bosque https://t.co/rkbqy6rtcb,4.54032915,-75.67878318,5
i'm at drogas la rebaja #2 armenia el bosque https://t.co/rbbrcewva1,4.54032915,-75.67878318,5
(@ drogas la rebaja #2 armenia el bosque) https://t.co/cafrosrw1t,4.54032915,-75.67878318,5
"mi pequeña familia infinituor ... playa, tren, barrancas, pueblos, bosque, desierto, dunas,… https://t.co/3zwpqntyym",27.237115,-107.946088,6
con la localia a favor 😅 @ el bosque https://t.co/loz2it6ajy,-34.7498809,-58.2683825,7
siempre es un nochon si está este 👨🏾 @ el bosque https://t.co/tmsagrthtt,-34.7498809,-58.2683825,7
"de todo se aprende! y lo que no te mata, te hace más fuerte. te amo amiga ❤️ @ el bosque https://t.co/ugrkc47kxm",-34.7498809,-58.2683825,7
lo que nos espera en el hermoso tabasco 😱 @ bosque de saloya https://t.co/avcnmygzja,18.01611,-92.95806,8
#atardecer llegando a casa . . . . #chilegram #chile #chillan #sunset #sun #bosque #tree #nature… https://t.co/pgwaxj37gn,-36.6085832,-72.08493297,9
"feliz legalidad a vos que a pesar de todas siempre estás, te amo y etcera @ bosque de arrayanes,… https://t.co/lnzqrfmo2z",-41.13244795,-71.31929225,10
"acaba de publicar una foto @ bosque de arrayanes, bariloche https://t.co/dheoqx6xsb",-41.13214164,-71.31766676,10
"la nueva y la ex. @ bosque de arrayanes, bariloche https://t.co/qkbv1qw9fa",-41.13214164,-71.31766676,10
