tweet_text,geo_latitude,geo_longitude,hotspot_id
mi eterna compañera @ cascada park https://t.co/g1xfjm1l0p,-5.69298568,-78.80518913,1
"hoy no me dio tanta flojera caminar... valió la pena ☺️ @ cascada agua azul, chiapas, mexico https://t.co/w9pxlkymwk",17.50826724,-91.98679787,2
día 1  -cascada chuveje  -mirador 4 palos @ pinal de amoles https://t.co/enfab55axz,21.15,-99.65,3
"#naturaleza que recarga #summer #djlifestyle  #chiriquí  #panamá @ cascada san ramón, boquete https://t.co/fwzd5lcj12",8.81733842,-82.46551163,4
aventuras desde la cascada dos brincos en la comunidad de cuesta de piedra - distrito de tierras… https://t.co/gqvfyscp2f,8.3965804,-82.4257383,4
hoy toco la cascada @ mazamitla pueblo mágico https://t.co/ewegmdizez,19.91739103,-103.02006148,5
"#naturaleza #tranquilidad #super en cascada la chorrera, el dragón de venecia cundinamarca https://t.co/slfwme2nzb",4.10200333,-74.48227333,6
cascada ipika a 17 grados y a 400m nivel del mar 🌊 en la selva de la sierra de perija natgeo… https://t.co/abjsyt3r3g,10.06714,-72.4662,7
"just posted a video @ cascada la tebaida, yopal https://t.co/amdohxdepu",5.3449406,-72.3956228,8
cascada la virgen.... #coyhaique #siempresonreir @ aysén region https://t.co/i90auom3cu,-45.57,-72.06611111,9
un lugar mágico ... realmente cumplió mis expectativas @ cascada de peguche https://t.co/sjzttdvblz,0.23615,-78.25689,10
