tweet_text,geo_latitude,geo_longitude,hotspot_id
18:53 en los angeles rescate vehicular con un máximo de 4 personas (10-4-1) rx-6 camino cerro colorado. y cruce can https://t.co/xzy7lo5cxo,-37.4393,-72.2413,1
05:03 en los angeles rescate vehicular con un máximo de 4 personas (10-4-1) b-1 ciclovia camino cerro colorado y km https://t.co/qrnadeis3h,-37.436,-72.3087,1
14:51 en los angeles incendio de basura o pastizal menor (10-2-1) b-5 ciclovia camino cerro colorado y cruce q-45 (h https://t.co/00rwsgtyzx,-37.4352,-72.2967,1
14:51 en los angeles incendio de basura o pastizal menor (10-2-1) b-5 ciclovia camino cerro colorado y cruce q-45 (h https://t.co/q9ridel0dl,-37.4352,-72.2967,1
00:17 en los angeles rescate vehicular con un máximo de 4 personas (10-4-1) b-4 ciclovia camino cerro colorado y cr https://t.co/tktqsvnvd4,-37.4352,-72.2967,1
22:39 en los angeles incendio de basura o pastizal menor (10-2-1) b-5 ciclovia camino cerro colorado y sector mortan https://t.co/gqcb9hrjqn,-37.4144,-72.2456,1
22:39 en los angeles incendio de basura o pastizal menor (10-2-1) b-5 ciclovia camino cerro colorado y sector mortan https://t.co/tlzhgbfn2e,-37.4144,-72.2456,1
22:39 en los angeles incendio de basura o pastizal menor (10-2-1) b-5 ciclovia camino cerro colorado y sector mortan https://t.co/ibfldiqx85,-37.4144,-72.2456,1
"~ alegría ~ @ cerro alegre, valparaíso https://t.co/0rkao6ysdg",-33.04310867,-71.62868812,2
just posted a photo @ cerro las cañas https://t.co/jxeyktyc6j,-33.05725621,-71.60584625,2
"con mis gandarva_zapateria en el puerto @ cerro alegre, valparaíso https://t.co/ayp2xsgahe",-33.04310867,-71.62868812,2
espectacular mañana para ir al cerro!! retomando 👌🏻👌🏻👌🏻🏃🏃⛰⛰ #curacaví#cerro#trekking#niebla @… https://t.co/frawi2yabt,-33.39355622,-71.13367454,2
"just posted a video @ cerro alegre, valparaíso https://t.co/hxaueipddq",-33.04310867,-71.62868812,2
llegando al hogars! @ carmen 426 cerro los placeres https://t.co/oo1rlqgjjm,-33.04030809,-71.59326201,2
mamita..... querida!!!! @ las palmas cerro placeres val paraíso https://t.co/sftmvznqef,-33.0586522,-71.560531,2
"🏚 @ cerro alegre, valparaíso https://t.co/oyrreowviw",-33.04310867,-71.62868812,2
"cada vez más cerca del fin del mundo. @ cerro playa ancha,… https://t.co/bzh9hz3qaj",-33.0333,-71.65,2
"al lado del camino !! 🛣 @ cerro alegre, valparaíso https://t.co/slbxfprbbs",-33.04310867,-71.62868812,2
"🤗❤️😍🙊🙊🙊 @ cerro alegre, valparaíso https://t.co/5ktyiwmx7j",-33.04310867,-71.62868812,2
"acaba de publicar una foto en cerro alegre, valparaíso https://t.co/zchnj3kwuo",-33.04333654,-71.62798806,2
"we are not hippies. we are happies. en cerro alegre, valparaíso https://t.co/zfnooqbybz",-33.04333654,-71.62798806,2
"valpo maravilloso 💕 @ cerro alegre, valparaíso https://t.co/tn3naiou8q",-33.04310867,-71.62868812,2
"señoras rekias de chile punto com en cerro alegre, valparaíso https://t.co/8jzppsbd9r",-33.04333654,-71.62798806,2
nuestro momento de volver a ser solo una 😍 en cerro larraín https://t.co/6vvg8cshjx,-33.04624928,-71.6010257,2
sábado de turistas por valparaíso https://t.co/htkqho30o9 matdlf en cerro… https://t.co/nv4mhb3hav,-33.04333654,-71.62798806,2
"suelo @ cerro alegre, valparaíso https://t.co/cosysctnoj",-33.04333654,-71.62798806,2
"🌌 @ cerro alegre, valparaíso https://t.co/in3w2jrczn",-33.04333654,-71.62798806,2
"😄🌄 @ cerro alegre, valparaíso https://t.co/qd4rsiqvus",-33.04333654,-71.62798806,2
"#gracias 😊#corazon #chocolate 😙 @ cerro alegre, valparaíso https://t.co/d5vskzd1h3",-33.04333654,-71.62798806,2
así da gusto volver de clases 🤗🤗✌🏻😊👌🏻 holly vibes 😘 en cerro playa… https://t.co/udzgecoma2,-33.0333,-71.65,2
"rojo, negro y blanco. en cerro alegre, valparaíso https://t.co/f8cwk8uzow",-33.04333654,-71.62798806,2
"☕️🍃🎧👣    👌🏽🐘😊  #instachile #instafoto #valparaíso en cerro alegre,… https://t.co/uwc7lq6u33",-33.04333654,-71.62798806,2
"martinnavarrow     p_i_t_e_    daaravena  #paseo bajo la #lluvia en cerro alegre, valparaíso https://t.co/t3cysigmur",-33.04333654,-71.62798806,2
"acaba de publicar una foto en cerro playa ancha, valparaiso, chile https://t.co/xehkzx9nsd",-33.0333,-71.65,2
"one thicc bih 🐕 #vsco en cerro alegre, valparaíso https://t.co/3edegizqnf",-33.04333654,-71.62798806,2
"buen día... 🇨🇱 #verano #me #boy #grafite #chile #holiday @ cerro alegre, valparaíso https://t.co/fkrbbswwku",-33.04310867,-71.62868812,2
amo este cerro. @ cerro polanco https://t.co/sjf0dcks5p,-33.05146277,-71.59991673,2
"la vida en colores =) @ cerro alegre, valparaíso https://t.co/0c6i4owbpo",-33.04333654,-71.62798806,2
"está más helado que los andes (@ cerro playa ancha in valparaíso, quinta región de valparaíso) https://t.co/6asozoliub",-33.02953936,-71.63916723,2
"celebración de los 2 años de la ruta la matriz, cerro santo domingo. #valparaíso #valpo… https://t.co/6jy6trrkja",-33.0356505,-71.6341159,2
"hoy decidimos seguir la ruta de los huicholes ✨ @ cerro el quemado (berg i mexiko, san luis… https://t.co/ijq5ofkkuc",23.67433,-100.91372,3
dandole al cerro 3/7 vamos que se puede 👍🏻💪🏻👌🏻🏆🏋🏼#pasiongym #legado… https://t.co/lb4qgsxliv,-21.98575958,-68.69194527,4
"de fondo el cerro tres picos, parte del sistema de montañas más… https://t.co/s0pn8esn9m",-38.13921,-61.79554,5
cuando llegar a la cima supera las expectativas... . . . . #sierradelaventana #cerro… https://t.co/suy05zgr2q,-38.15555556,-61.95,5
lo único que quiero es ver a cerro muy loco de la cabeza 🎶 (at @albirrojaprensa) https://t.co/rtrxycu4sl https://t.co/hlopen0rnq,-25.2922371,-57.65740871,6
