tweet_text,geo_latitude,geo_longitude,hotspot_id
playa ✌ @ la costa san bernardo https://t.co/wvitcomtgq,-36.690813,-56.6855849,1
"mujer bonita es la que lucha. @ playa, costa del este https://t.co/iivwbqosqo",-36.61227175,-56.6859765,1
dia de playa✌🌞🐷 @ la costa san bernardo https://t.co/ukvx7uozwh,-36.690813,-56.6855849,1
mi preferida 👑 @ la costa partido https://t.co/grigulmm35,-36.56666667,-56.68333333,1
dia de playa🎀 @ santa teresita (costa argentina) https://t.co/ue9miguxal,-36.53938108,-56.69166327,1
"❤☀️ @ playa, costa del este https://t.co/7xxli4d1l8",-36.61227175,-56.6859765,1
"volviendo de la playa con mi pequeño amor 😍💕 @ playa, costa del este https://t.co/lli2cvnvqm",-36.61227175,-56.6859765,1
"🏄🏽🏄🏽 @ playa, costa del este https://t.co/ujklv5e7xz",-36.61227175,-56.6859765,1
smile😃 @ ciudad de la costa https://t.co/hldtixd5pt,-34.81666667,-55.95,2
nos sobran las razones para pedir revancha. en costa azul- bello horizonte https://t.co/ssdl005bno,-34.7730016,-55.650982,2
look bronceado😎 @ playa costa azul https://t.co/7alqngxpml,-34.76934484,-55.65785364,2
🌊🌞 @ playa costa azul https://t.co/fud9gjfvaz,-34.76934484,-55.65785364,2
naturaleza. @ parque del lago via a la costa https://t.co/k1gaopqpkx,-2.21958951,-80.08606105,3
"#repost @t3sports_ec (get_repost) ・・・ #gatoradeevolution2017 @gatoradeecuador @ ""vía a la costa"" https://t.co/lmne2ltamu",-2.18375246,-79.98005959,3
las amo❤️🎂🎊🎈 en portal al sol - vía a la costa https://t.co/o8fsizpnx4,-2.18115622,-79.98383605,3
"disfrutando de la costa 😋 #playa #esmeraldas #twinkboy @ atacames, esmeraldas, ecuador https://t.co/rejj35mizt",0.86852001,-79.85101661,4
🏖🏝 @ costa del lago https://t.co/0hz3ijelq4,-31.44041792,-68.67699355,5
"fam☀️🌊 @ playa costa azul, luquillo p.r. https://t.co/ig7ql1ke42",18.38259898,-65.72054161,6
sonrie la vida es hermosa en costa verde panamá https://t.co/ese6bbflkk,8.89241094,-79.75066455,7
la mejor vista con mi mejor compañía. te amo!! @_raquelamm @ ocumare de la costa de oro https://t.co/wd6x70khg7,10.4158898,-67.75575658,8
😴☹️ (@ centro médico la costa brasilia) https://t.co/myfvo9ztkr,-25.27623202,-57.59865541,9
y bueeeno (@ centro médico la costa brasilia) https://t.co/zzviusnmz7,-25.27630585,-57.59873793,9
la costa sigue como la región más competitiva: dnp. vía: @elheraldoco https://t.co/twzbqvty9u,11.0064835,-74.8027464,10
