tweet_text,geo_latitude,geo_longitude,hotspot_id
"aquí todo está un viaje (@ desierto de la tatacoa in villavieja, huila) https://t.co/uhq1rbqvlc",3.2333732,-75.17172,1
"😍😍💘 @diego_filth (@ desierto de la tatacoa in villavieja, huila) https://t.co/tyhmiyhqux",3.2333732,-75.17172,1
#desiertotatacoa #huila #colombia🇨🇴 @ desierto de la tatacoa https://t.co/bffs3ydhwe,3.21799,-75.21722,1
del que menos esperas de ese recibes lo mejor gracias  cabrito 😍😍😍 en desierto de la tatacoa la… https://t.co/li7uawgrmw,3.2201924,-75.2173767,1
hoy fue un gran día en el desierto de baja california #bmwmotorrad  #bmwesmeralda… https://t.co/t8wijumjvi,27.74,-113.6,2
de la ruta xvi @ desierto de atacama https://t.co/dsb5uhw0mk,-27.26440836,-70.77407164,3
partiendo la semana en mega imc #scat #pingüinoeneldesierto #lan #sky #imc @ desierto de atacama… https://t.co/s4pul233ux,-27.26124722,-70.77922222,3
montaña de colores en el #desiertodesiloli #bolivia #uyuni 🇧🇴 @ desierto de siloli https://t.co/tejluyqqba,-19.58816,-65.74545,4
"mi pequeña familia infinituor ... playa, tren, barrancas, pueblos, bosque, desierto, dunas,… https://t.co/3zwpqntyym",27.237115,-107.946088,5
"lo lindo del un desierto nevado @ minera escondida, operada por bhp… https://t.co/zom1tc2vp4",-24.25529616,-69.11985618,6
"esta semana dios tiene cosa nueva preparada para ti! otra vez abrirá camino en el desierto, y tu… https://t.co/ptkbgaimdt",10.06842373,-69.30913515,7
acaba de publicar una foto @ desierto de huacachina https://t.co/tjf5118iug,-14.086939,-75.76270444,8
qué sol tan intenso  #myself #minepaotraveling #travel #slp @ santuario del desierto https://t.co/eebsxwf26w,22.17276852,-101.06080916,9
"que belleza, aunque sea el  desierto mas arido del mundo  si dios quiere puede ser el mas lindo… https://t.co/gjayihk63d",-23.89451,-70.30121,10
