tweet_text,geo_latitude,geo_longitude,hotspot_id
just posted a photo @ estación la floresta https://t.co/vifichy7kv,-34.73611111,-55.68611111,1
"primos @ la floresta, canelones, uruguay https://t.co/zxen2cchcy",-34.75,-55.6833,1
"fogón &amp; #sunset perfecto para despedirlos amiguitos🙌🌅🔥💫@svilchansky @ la floresta, canelones,… https://t.co/lfesipvyiu",-34.75,-55.6833,1
"acaba de publicar una foto en la floresta, canelones, uruguay https://t.co/jpx0kf9svy",-34.75,-55.6833,1
previa al feriado... (@ la floresta in canelones) https://t.co/gwguygbyzy,-34.75810127,-55.67807018,1
"la q siempre está. @ floresta, buenos aires https://t.co/w60hsejfyx",-34.63333333,-58.48333333,2
"no entendía la indirecta. parece  #whatsapp #grupos @ floresta, buenos aires https://t.co/s5jiwelzpr",-34.63333333,-58.48333333,2
"como te admiro bro. mucho respeto! 🔝🎤 @ floresta, buenos aires https://t.co/ubyqe2c67t",-34.63333333,-58.48333333,2
"soy un amante de las curvas jamás viviré en linea recta @ floresta,… https://t.co/dh4efov4lo",-34.63333333,-58.48333333,2
"el feo de las nenas lindas 😋 @ floresta, buenos aires https://t.co/xxuxrlkvjg",-34.63333333,-58.48333333,2
mi vida💕💕💕👑😍😍😍 @ floresta (buenos aires) https://t.co/2mypibyety,-34.63333333,-58.48333333,2
"puto calor #alertaamarilla #hoteltrivago tu hotel ideal, al mejor precio. @ floresta buenos… https://t.co/jcrkjxtez9",-34.62757116,-58.47721417,2
"este día será mejor que ayer, feliz día a todos @ la floresta residencial https://t.co/we7vah1jhv",20.61108188,-103.27631422,3
"mi coapita de toda la vida 💙 (@ floresta coyoacán in tlalpan, df) https://t.co/lgudmqidk4",19.30441659,-99.13085288,4
#de #choclito!! 😍🇪🇨 @ la floresta https://t.co/evcdbz45as,-12.2501017,-76.88477039,5
entregando pedido (@ fraccionamiento la floresta) https://t.co/jglp2yvt9b https://t.co/g1gypbaf2f,19.61444922,-99.25999337,6
