tweet_text,geo_latitude,geo_longitude,hotspot_id
"i'm at lago da vaca, novo horizonte 2 in macapá, amapá w/ @azenete_mendes @wadyllae @jonasesteves6 https://t.co/qrjzlbrbac",0.08838328,-51.0446156,1
"i'm at lago da vaca, novo horizonte 2 in macapá, amapá w/ @waydipaes @azenete_mendes @wadyllae @gutembergsilvap https://t.co/ulwhdckjkp",0.08838328,-51.0446156,1
solo miro al horizonte ora darme cuenta de tu grandeza!! #imagendenikeyonousoadidas @ amber cove… https://t.co/0nfzrkqjgo,19.83064156,-70.77476881,2
tarde de viernes❤👫 en balneario bello. horizonte https://t.co/djwykfqqpd,-34.7748009,-55.6420824,3
nos sobran las razones para pedir revancha. en costa azul- bello horizonte https://t.co/ssdl005bno,-34.7730016,-55.650982,3
horizonte sin nivel bahía de cata #insta_ve #instamood #love #elnacionalweb #sea #beach #playa… https://t.co/0du5fhhv4c,10.48652,-67.73777,4
no es para mí es para mí sueño jajajaja @ condominio bello horizonte https://t.co/ghrcuvrmmw,-18.44608118,-70.29858664,5
"una década más.... jajaja... @ pizza hut, bello horizonte https://t.co/qmhryyzhjw",12.14620283,-86.23385042,6
al fin viernes mirando el horizonte y el mañana @ sambil maracaibo https://t.co/ky7fmqh7fi,10.71598,-71.6382,7
cúpula de la iglesia nuestra señora de la merced - ushuaia apuntando al horizonte. #iglesia… https://t.co/npgzhxzq0t,-54.8,-68.3,8
"""en vista al horizonte"" @ nápoles https://t.co/zy735uhsye",20.6922079,-103.3846528,9
rosas para el alma🌹 ¡un mismo horizonte! por @rosasparaelalma #añorosa    la honestidad es una… https://t.co/14klobkzmh,18.46075176,-69.90355619,10
