tweet_text,geo_latitude,geo_longitude,hotspot_id
vive en esta prestigiosa villa country en maracaibo zona norte 🔴🔵precioso town house en lago… https://t.co/4itkvy3fda,10.6729227,-71.61969066,1
diseño interior de restauran ubicado en el c.c. lago sur #restaurant  #arquitecto #diseño… https://t.co/oaqcicsjmb,10.5619,-71.6456,1
tarde de vereda del lago @ vereda del lago https://t.co/zyqxubqfts,10.6877,-71.5975799,1
feliz domingo! !! @ residencias lago park https://t.co/o3nj2w6ot5,10.66536512,-71.59178374,1
🔴🔴🔴🔴🔴🔴🔴🔴 nueva captación  📌lago country villas 1 ✅180 m2 ✅pisos de marmol y granito ✅3… https://t.co/nl2fwohwar,10.65,-71.6333,1
¡gracias por hoy!. se les quiere en lago mall ♥ https://t.co/ppagkxzuyu,10.68375818,-71.59432711,1
mi visita por la vereda del lago.  .  .  #veredadellago #maracaibo #zulia #elsolnojuega… https://t.co/kt0wkne07k,10.69504052,-71.60585381,1
#sunset #atardecer frente al lago #music #guitar #portrait #lake #nikon #sky #trophical #cabimas… https://t.co/hoqksqkhl0,10.4,-71.45,1
"re/max hogar vende apartamento  *edificio vista alta, sector la lago* distribuido en : - 140… https://t.co/l1gjnlckha",10.67849044,-71.60181778,1
"está mañana, corredores y caminantes en la vereda del lago… https://t.co/y7ykaob9xi",10.65536955,-71.59459453,1
disfrutando de la vereda del lago con @itscybertron… https://t.co/9xhkxjkoof,10.69504052,-71.60585381,1
"mi hermoso lago de maracaibo en maracaibo, venezuela https://t.co/p5nbxhyy0m",10.65,-71.6333,1
#tbt 🌳💟🍃 @ vereda del lago https://t.co/oihsfzwkda,10.6877,-71.5975799,1
"🙌😎 #loquita #desdeelcuartodelasideas @ la lago, maracaibo https://t.co/c3esekm5d7",10.67929803,-71.60473146,1
"i'm at vereda del lago - @laveredadellago in maracaibo, zulia https://t.co/g45swkgvzu",10.6588577,-71.59453154,1
estilo y categoría cinco estrellas determinan al #hotel tibisay del lago en como el de mayor… https://t.co/xfjur2dahn,10.68224394,-71.59378443,1
🔹apartamento en lago country sur (planta baja) 67mts2 en gris  19mtrs2 de terreno. 2… https://t.co/kvlmrx0ape,10.65,-71.6333,1
"🔙😫(cara de ogt) @ lago puelo, chubut https://t.co/nq40xbbdee",-42.061969,-71.599341,2
mi estetica visual intacta!#buenlunes lago puelo😍 https://t.co/lirdqregz2,-42.0562978,-71.6014947,2
"parque con mucha carga de significantes. en lago puelo, chubut https://t.co/wuifee1zaf",-42.061969,-71.599341,2
acaba de publicar una foto en lago epuyén (chubut) https://t.co/hmj7qlbiwh,-42.2158,-71.4289,2
"casi 9 meses de esta relacion amor-odio.  mi pequeño haru @ lago puelo, chubut https://t.co/bro1hsvtmy",-42.061969,-71.599341,2
hermoso poder despejarse un poco. @ lago epuyén (chubut) https://t.co/vncvdkfc3z,-42.2158,-71.4289,2
"hora de volver (@ hotel rincon del lago in patzcuaro, michoacan) https://t.co/fqljrumas1",19.54302426,-101.61995748,3
"lago de pátzcuaro, isla janitzio, #michoacán #panteon #muertos #island #elalmademexico #town… https://t.co/terszyddmk",19.55,-101.667,3
lago de pátzcuaro @ lake pátzcuaro https://t.co/ixnudj5kja,19.63333333,-101.63333333,3
"i'm at lago de pátzcuaro in patzcuaro, michoacán de ocampo https://t.co/3pglj1ewb2",19.54303529,-101.61682442,3
"i'm at lago rupanco in osorno, región de los lagos https://t.co/ijhb8tmhxo",-40.78671487,-72.68871089,4
"i'm at lago rupanco in osorno, región de los lagos https://t.co/wgkwa5vdig",-40.78671487,-72.68871089,4
"en su ""roca de sirena"" junto a su hermanito @ lago rupanco,puerto… https://t.co/gphrpncz38",-40.76648374,-72.5741762,4
"cumple n 3 🙄 (@ paseo del lago in barrio boquerón, alto parana) https://t.co/xnhqi7dxsh",-25.52104354,-54.62360949,5
un lunes diferente 😉 @yayomaria @ paseo del lago https://t.co/nyfiyocgjf,-25.52101785,-54.62353719,5
"i'm at lago de la república in ciudad del este, alto parana https://t.co/kssbcx9gbl",-25.51885802,-54.62376595,5
"i'm at lago de la república in ciudad del este, alto parana https://t.co/c9dpvahzmx",-25.51885802,-54.62376595,5
mí dulce! @ paseo del lago https://t.co/1e3aeb6qgq,-25.52101785,-54.62353719,5
lago atitlan #guatemala #tienesquevenir #increible @ lake atitlán https://t.co/81apqojjmb,14.7,-91.2,6
todos lo que hemos podido disfrutar de este paisaje coincidimos en que el lago atitlán es el más… https://t.co/aajqpdeoiq,14.7,-91.2,6
"iniciando una vida juntos, el lago es garante de nuesto amor. @ lake atitlán https://t.co/1pgakp2ud1",14.7,-91.2,6
2.11 ❤️ #prismaeffect @ porta hotel del lago https://t.co/celp7ekjuq,14.73737622,-91.15944682,6
te amo jhenny_30 en lago atlitan https://t.co/linmpytfqa,14.7360645,-91.15917708,6
en la boda caballeros falla ❤ @ porta hotel del lago https://t.co/bisv0hrbdh,14.7374793,-91.15955173,6
disfrutemos del lago #llanquigue #frutillar #volcan #osorno #chile #picoftheday #love #like… https://t.co/es4arqtcry,-41.13570691,-73.02749393,7
"primer luna llena de otoño  en el volcán osorno y lago llanquihue @ frutillar, chile https://t.co/l4xwflhnr9",-41.1167,-73.05,7
"en el lago llanquihue, segundo lago más grande sudamérica y atrás el volcán osorno 🏔🌋⛰ @ puerto… https://t.co/qnydrskxn1",-41.3167,-72.9833,7
"#frutillar #vacaciones @ frutillar, lago llanquihue. frente al… https://t.co/jem7cffsxo",-41.13570691,-73.02749393,7
"just posted a photo @ lago todos los santos, chile https://t.co/iykaur0ubg",-41.13470578,-73.02758616,7
a ver brillar al mb 😍 en teatro del lago https://t.co/flcuvwng1m,-41.13918167,-73.02566688,7
#labarcarocco #puertocrea #canon6d #frutillar #chileanway #russo en teatro del lago frutillar-chile https://t.co/xtzsdk1uty,-41.1390392,-73.0265384,7
esfuerzate y se valiente 😊 feliz inicio de semana!! @ lago agrio https://t.co/z3urvivgqe,0.0847222,-76.8828,8
"jajjajaja @ lago agrio turístico, tierra para vivir. https://t.co/npduzxk2ut",0.08311694,-76.89015847,8
#cort_guitars #marshall #cort @ lago agrio https://t.co/9zgsulv5af,0.0847222,-76.8828,8
lago rapel #lagorapel #rapel @ lago rapel vi región https://t.co/xdsd66absd,-34.14548353,-71.38006932,9
"boris, felices fiestas patrias. co.cosmico #foto #amigo #feliz #felices #fiestaspatrias en lago… https://t.co/e5qzluphmh",-34.14545654,-71.37997667,9
#lagorapel  #lago #ultimodia  #vacaciones #vacaciones2017 @ lago rapel vi región https://t.co/j4vtvqkliu,-34.14548353,-71.38006932,9
☀️🔥 @ lago rapel chile https://t.co/3zwaccu0sk,-34.19086076,-71.45913363,9
"#86octanosmotoclub #lagoriñihue # @ lago riñihue, región de los rios https://t.co/wg1e5mcyta",-39.80152487,-72.42191863,10
"coñaripe, los ríos. @ lago calafquén https://t.co/umu4nkr5a7",-39.52,-72.14722222,10
"la cago! (@ lago calafquén in lican ray, araucanía) https://t.co/nwg89xdiqo",-39.4920051,-72.14876627,10
