tweet_text,geo_latitude,geo_longitude,hotspot_id
"i'm at hospital privado de comunidad (hpc) in mar del plata, buenos aires https://t.co/rlkp4acgzh",-38.01285917,-57.53956318,1
dejemos que todo fluya💃 #losamo❤ @ mar del plata mdp https://t.co/uz8rjlqval,-37.9769099,-57.58456,1
"anteultimo día con ellos antes de volver a gesell @ mar del plata, argentina https://t.co/pffpfn3vwd",-38.0,-57.55,1
"i'm at aegis in mar del plata, buenos aires https://t.co/uzo98tqhen",-38.01006541,-57.58327782,1
"late late (@ push up! gym in mar del plata, buenos aires) https://t.co/qtuvrsudel",-38.01176098,-57.54115423,1
"👭 @ mar del plata, argentina https://t.co/yfwx7izmnr",-38.0,-57.55,1
"abadejo y pollo al disco en familia 👌👍 @ mar del plata, argentina https://t.co/ixho2cckra",-38.0,-57.55,1
"que trabajo!! unos genios!! 👏👏👏#arteconarena @ mar del plata, argentina https://t.co/h50ypvfql1",-38.0,-57.55,1
"places❤ • • • • • • • @ mar del plata, argentina https://t.co/ek6lwnmiri",-38.0,-57.55,1
"recuerdito facebookeano 🌸 @ mar del plata, argentina https://t.co/gtirdhqao7",-38.00809969,-57.53999423,1
"#ciro y la playa. ya la extraña. lindos momentos... @ mar del plata, argentina https://t.co/a4f4adbv2z",-38.00809969,-57.53999423,1
"sí sos donante, es muy importante qué tú familia y amigos... lo sepan. @ mar del plata, argentina https://t.co/wepttcfvm7",-38.0,-57.55,1
"la banda se junta en el bailee 😎😈💣💯💯 @ mar del plata, argentina https://t.co/fsnpnddiet",-38.0,-57.55,1
"que se yo.❣🐷🌈 @ mar del plata, argentina https://t.co/61bg8hehqj",-38.00809969,-57.53999423,1
"mientras tanto.. @ mar del plata, argentina https://t.co/dpw4kwvxgn",-38.00809969,-57.53999423,1
"mira lo que encontré💔 @ mar del plata, argentina https://t.co/3qgdtiacim",-38.0,-57.55,1
"es parecida a una q subí 🔝💙🔥 @ mar del plata, argentina https://t.co/mhu7uztymr",-38.00809969,-57.53999423,1
🌊🌞 @ playa varese mar del plata https://t.co/tgxwqa7dfz,-37.93364,-57.5432,1
"con un hombre de chocolate 🍫 @ mar del plata, argentina https://t.co/ui5eet4i1h",-38.0,-57.55,1
"así nos despiden de mar del 😊😎 #paella #vueltaalpago @ mar del plata, argentina https://t.co/s2oblofapf",-38.00809969,-57.53999423,1
"así es. @ mar del plata, argentina https://t.co/05q2tgnfjn",-38.0,-57.55,1
"lo mejor de nuestra piel es que no nos deja huir. @ mar del plata, argentina https://t.co/ayqigzo3iw",-38.0,-57.55,1
"2da del día @ mar del plata, argentina https://t.co/scjxdzaqox",-38.00809969,-57.53999423,1
"2 meses 💞 @marama_agustin @marama_oficial ⬅⬅ #marama #mardelplata #enero @ mar del plata, argentina https://t.co/impyork7ou",-38.0,-57.55,1
"así de linda... @ mar del plata, argentina https://t.co/4bzqkv7zvx",-38.00809969,-57.53999423,1
"olivia 😍 @ mar del plata, argentina https://t.co/mivqp4gasd",-38.0,-57.55,1
"amo 💕 @ mar del plata, argentina https://t.co/dqqx4axlrv",-38.00809969,-57.53999423,1
estas locuras de mi novia. @ tiki bar mar del plata https://t.co/xwtmw2nnmu,-38.02747,-57.53546,1
"entrega el marrón! #mdq #autenticosdecadentes #mutemdq @ mute club de mar, mar del plata https://t.co/g6ixb83ha8",-38.09988675,-57.54965925,1
"quién no se ha besado en mardel?🎶🎵 @ mar del plata, argentina https://t.co/fgyljwiv0m",-38.00809969,-57.53999423,1
