tweet_text,geo_latitude,geo_longitude,hotspot_id
just posted a photo @ monte caseros | corrientes | la magia de un lugar https://t.co/ejovvhovvf,-30.2506948,-57.6231647,1
✨bienvenido 2017✨ @ monte caseros | corrientes | la magia de un lugar https://t.co/sknijgnzpz,-30.2506948,-57.6231647,1
"la mejor playa de argentina #montehermoso #playa #quierovolver @ monte hermoso, costa atlantica,… https://t.co/h9sobxmlkt",-38.9835,-61.29359,2
"chau monte, hasta la próxima. . . . #sea #instatravel #instatrip #hallazgosemanal… https://t.co/wncavpad1u",-38.992559,-61.2252256,2
vamos con todo mañana atlético de mí vida 🇦🇹💪🏼🦁 @ monte hermoso https://t.co/yl5kwmeoeq,-38.984986,-61.288458,2
primavera con las mejores ❤️🌼🌅 en monte hermoso partido https://t.co/bxsmk6w0pw,-38.98333333,-61.25,2
tu primera vez en la playa y es tipo... #bianca 😂 @ monte hermoso https://t.co/b9rfp7ku8n,-38.984986,-61.288458,2
regram juliansgattoni tarde de playa...nos corrió la tormenta #monte @ monte hermoso https://t.co/uzbmxsipj6,-38.984986,-61.288458,2
🌅😍 @ lago del monte https://t.co/eljqwiligr,-37.0135999,-62.42057,3
la risa no puede faltar 🙆💚 #2017💫 @ lago del monte https://t.co/6h43ukhpd0,-37.0135999,-62.42057,3
"la bebé mas linda del planeta 🌍💞😍 @ monte castro, distrito federal,… https://t.co/dkxspz8ph4",-34.6167,-58.5,4
"el tiempo pone todo en su lugar 👌 @ monte grande, buenos aires https://t.co/wehxncnslu",-34.826869,-58.46105,4
merienda con la gordita ❤️ @ café martinez monte castro https://t.co/cr8nppiccw,-34.6135864,-58.5197703,4
si no es con amigos  que sea con sobrinos 👑😎🍔🍟 @ burger king - monte… https://t.co/kuo9cocugu,-34.81569835,-58.46852888,4
"pollo al disco de gero @ monte grande, buenos aires https://t.co/tvemqjzpia",-34.826869,-58.46105,4
"acaba de publicar una foto en monte grande, buenos aires https://t.co/c7zoig17bq",-34.826869,-58.46105,4
"ahora si me calmo con las fotos viejas @ monte grande, buenos aires https://t.co/o48t8l4pvc",-34.826869,-58.46105,4
"los colores de mi vida 💙 @ monte grande, buenos aires https://t.co/idqv5cgzbi",-34.826869,-58.46105,4
"hay libertad en la casa de dios.   #elcamino2017 #juventudcirculodeoracion @ la cuaba, monte… https://t.co/zopgelygml",18.8333,-70.0667,5
"es carun berá mi gran amor💥 @ monte caseros, corrientes https://t.co/hxmmtcdnem",-30.25,-57.65,6
"es🐢en - este paisaje es de la ciudad de los zapotecas, llamada monte albán. para construir la… https://t.co/4xarx2ibw9",17.04388889,-96.76777778,7
"lo mejor de estos días, las quiero 💜💙 @ monte comán https://t.co/jh8bmjpk8v",-34.6,-67.9,8
el tuit con más repercusión de la tendencia 'bello monte y las mercedes' fue de @rcamachovzla: https://t.co/omrmlnolh2 (493 rts) #trndnl,10.496,-66.8983,9
diputados de la asambleave recorremos la morgue de bello monte. no podemos acostumbrarnos a la… https://t.co/aqd4y1iylv,10.48333333,-66.86666667,9
"pasar la noche aquí bailando divirtiendonos 🎉 @ monte cristo,… https://t.co/r0lt21g51d",-31.35,-63.95,10
