tweet_text,geo_latitude,geo_longitude,hotspot_id
"¡dios, como me gusta esa chica!👫💕  #photography #naturaleza @ apulco https://t.co/uf8d2ejfkp",19.91834301,-97.60842984,1
"naturaleza  😍 @ atempan, puebla, mexico https://t.co/hblnf6dqkz",19.85,-97.4333,1
🎈 la maravilla de la naturaleza #gratitud 😘 #allisgood  #conociendopanama #cascadalagloria ⏩… https://t.co/soavrpwamy,19.878745,-97.588751,1
hostal cepitá - #santander #colombia #naturaleza #nature #live #life #lifestyle #travel #colors… https://t.co/kivyaurfsy,6.75611,-72.9783,2
disfrutar de la creación de la naturaleza junto a las personas que… https://t.co/vqscs6izez,6.79015842,-73.0038817,2
"que en la vida el amor siempre sea el principio y el final, que la naturaleza sea siempre… https://t.co/d2qstgegki",1.02784,-76.6169,3
tranquilidad 🍃😌👌 #isladelacorota #airepuro #naturaleza #nariñp @… https://t.co/wj0hxtk4vp,1.135318,-77.1463817,3
"☀️ 🍃 #naturaleza #primavera #campolindo #nature en chincolco, valparaiso, chile https://t.co/qpsauop6ia",-32.2167,-70.8333,4
"si realmente amas la naturaleza, encontarás la belleza en todas partes.-vincent van gogh. #canon… https://t.co/ic029pfd6m",20.9097,-99.1972,5
"y es que la naturaleza no hace nada en vano, y entre los animales, el hombre es el único que… https://t.co/atr8kwbvax",32.95037841,-96.82058941,6
"«if you like piña coladas» un par de medias en plena naturaleza, no podía faltar!  #huaraz #lake… https://t.co/xbisqyfuhg",-10.31666667,-76.7,7
#semuc #champey #pozas #travel #naturaleza #guatemala #descansando @ semuc champey https://t.co/1m9byf25pm,15.53333333,-89.96111111,8
"placeres que dan los pueblos con su naturaleza ❤ @ tahmek, yucatan,… https://t.co/whoxqgg4ks",20.8833,-89.2667,9
#diamundialdelmedioambiente hay que conectar a las personas con la naturaleza  salto el chorro… https://t.co/bnbb3z932g,10.0605329,-72.5500596,10
