tweet_text,geo_latitude,geo_longitude,hotspot_id
"pos a comer algo en carretera... clásico! 🌹 (@ el paisaje in puebla, pue) https://t.co/kb8kltqcz0 https://t.co/qr1ng8l59m",19.35040195,-98.62493395,1
"hoy, el paraíso de la flores #flores #flowers #paisaje #landscape #naturaleza #mientrascamino… https://t.co/2uzlyn7g2y",19.40142624,-98.19019542,1
paisaje pulquero. @ rancho magueyero san isidro https://t.co/leovuv0amy,19.4816817,-98.5654483,1
un paisaje inolvidable @ chungará lake https://t.co/ybbrlibgnm,-18.25,-69.16666667,2
"disfrutando del paisaje, con la mejor compañía 😍 @ castro, chile https://t.co/ufztkld6p9",-42.471727,-73.773499,3
el paisaje de todos mis dias #belize #belizeanlifestyle #stanncreekdistrict @ belize aquacalture… https://t.co/erdcd3yfwn,16.64785363,-88.36480936,4
@angeses qué paisaje tan lindo,14.6044079,-87.8238631,5
"rugoso y fuerte, paisaje del bajío mexicano. #depaseo #verde… https://t.co/lv6k2g3mwo",20.43111111,-101.72222222,6
👀cauitvante paisaje de nuestra patagonia chilena👀 #photo #pic #clouds #lifestyle #fashionstyle… https://t.co/hdj2df5vyi,-51.72941,-72.50168,7
"lo mejor de todo es el paisaje... @ canelones, uruguay https://t.co/sg24751e1z",-34.5228,-56.2778,8
mi paisaje favorito #bettertogether @jj_rb en juan gaviota marina del sur https://t.co/9mdkcyqqj0,13.915177,-90.96672177,9
"paisaje tamaulipeco.  ciudad gustavo díaz ordaz, en el estado de tamaulipas. @ cd diaz ordaz tamps https://t.co/xrqmk6w9am",26.23716644,-98.59845931,10
