tweet_text,geo_latitude,geo_longitude,hotspot_id
12:43 en ovalle incendio de pastizales o basura (10-2) qb-2 b-6 ruta 45 y quebrada los leices https://t.co/gbucn8f6la,-30.6281,-71.2144,1
"abuelo ❤ @ barrio la quebrada, ciudad de la rioja, argentina https://t.co/nqes8zdi4d",-29.40897924,-66.91926622,2
en pleno viaje jej @ quebrada de las conchas salta https://t.co/m2ldseorr3,-26.07300819,-65.97580556,3
"una locura este lugar @ la garganta del diablo, quebrada de las conchas, salta, argentina https://t.co/tqvn7eobln",-25.99920176,-65.78934549,3
disfrutando la nochecita @ quebrada https://t.co/ycnu1zhiqq,16.8457631,-99.91509676,4
#laquebrada #acapulco #añonuevo #esposos @ la quebrada https://t.co/6nccpmfau9,16.84628,-99.91476,4
#laquebrada #acapulco #diving #lovemexico @ la quebrada https://t.co/p7bfnpnnwd,16.84611111,-99.91555556,4
"quebrada la ayura, medellín fernandocruzf @fotocolombiana  medellin, haciendo vídeo y fotos para… https://t.co/phdvzj6kyp",6.142478,-75.574869,5
tengo que aprender a dejar personas en el pasado🍁 @ la quebrada del… https://t.co/3lq9s0dhzf,-31.42408825,-64.50161117,6
"💆🌳 @ quebrada la vieja, cerro de la cruz. https://t.co/1uxwdrk1kj",4.6,-74.0833,7
buenos días 🌸🌼🌺🌞 @ montaña quebrada la vieja https://t.co/htzoe7ro6h,4.65038431,-74.04764087,7
"nunca la vi llorar, siempre está loca @ dique la quebrada https://t.co/4ave7pupdg",-31.40422,-64.20293,8
12:54 en peñalolén salvamento de personas (10-3) q6 rh8 diagonal las torres y ingreso quebrada de macul https://t.co/blsrysbbjo,-33.4813,-70.5234,9
18:57 en peñalolén incendio h1 b3 b4 rb6 b8 b11 q7s q15s quebrada de vitor y las parcelas https://t.co/obpuq0nl9s,-33.473,-70.5349,9
18:57 en peñalolén incendio h1 b3 b4 rb6 b8 b11 q7s q15s quebrada de vitor y las parcelas https://t.co/obpuq0nl9s,-33.473,-70.5349,9
18:57 en peñalolén incendio h1 b3 b4 rb6 b8 b11 q7s q15s quebrada de vitor y las parcelas https://t.co/wc1irtu3kh,-33.473,-70.5349,9
family #chorrodeplata #familyovereverything @ quebrada chorro de plata https://t.co/slftin9kvz,3.34164,-76.59579,10
