tweet_text,geo_latitude,geo_longitude,hotspot_id
shironi a la vista 😅😅😅 #tribu #ashaninkas #selva #peru #hacemuchocalor @ comunidad nativa… https://t.co/avjhwliljh,-10.93710743,-75.20158417,1
"😘😍experiencias ❤ únicas 💖 💓te amo.... mi selva querida 💗 #recuerdos❤💕 en la merced, junin https://t.co/lat1ajewks",-11.05,-75.3167,1
"lunch after a swim in the cenote! (@ hacienda selva maya in valladolid, yucatán) https://t.co/obhb5ykzsq https://t.co/rjgdcrq97a",20.67667961,-88.24216555,2
sin una brújula que apunte al norte. @ hacienda selva maya https://t.co/ehkrifcbve,20.67664761,-88.24221519,2
la #selva espesa del parque #lindo #brazil #roosterspeak #topofbrazil #natural #gonaturalgo… https://t.co/cx56x2mdf8,-23.5261299,-46.67566,3
selva de pedra @ selva https://t.co/n2jk3r0lpe,-23.5515,-46.65074,3
selva de pedra. @ paulista avenue https://t.co/4pcchkmjkc,-23.56138889,-46.65638889,3
"tlacuacheando. (@ la selva taurina in querétaro, qro) https://t.co/jsmqsnqzmf",20.59354176,-100.38289488,4
"i'm at la selva taurina los arcos in santiago de querétaro, qro https://t.co/cwapnouyte",20.59674,-100.371841,4
"sangría mi amorrrrr ❤️ (@ la selva taurina in querétaro, qro) https://t.co/na1kyjqygo https://t.co/raozjc4tes",20.59354176,-100.38289488,4
@vladimirala1_gv #valentinaala1 aún en la selva amazónica nos guiamos x tu bitácora de viajes para disfrute inmenso,9.52700802,-68.63251492,5
"fase final do clipe cuspindo fogo c3svrs3lva ""cesar selva"" #ninguemfilmes @ rondon do pará https://t.co/pdicjsguor",-4.77561141,-48.07017318,6
♥♥♥♥♥♥ @ cacoal selva park oficial https://t.co/og3ufcmaeo,-11.48830406,-61.43896878,7
¡urgente! comunidades indígenas en la sierra y selva sufren una crisis de salud por exposición a… https://t.co/lig2d6f5w2,-8.0,-78.0,8
just posted a photo @ selva amazónica https://t.co/o7jqrtcu8p,-4.17192,-69.989103,9
selva lacandona #mexicomagico #chiapas #besttimeofmylife #visitmexico #vacationtime #summer2017… https://t.co/acupldfajf,16.9163799,-92.0882263,10
