tweet_text,geo_latitude,geo_longitude,hotspot_id
"sueño con volver @ ushuaia, tierra del fuego, argentina https://t.co/q1x47nzpoh",-54.8,-68.3,1
"🚴🏻 + ⛰ = 😁 @ ushuaia, tierra del fuego, argentina https://t.co/fy6fovygsi",-54.8,-68.3,1
"y si nos arriesgamos y todo sale bien? @ ushuaia, tierra del fuego, argentina https://t.co/tjg76ktckk",-54.8,-68.3,1
"foto con el dron de pikudj @ ushuaia, tierra del fuego, argentina https://t.co/bcqxq0hina",-54.8,-68.3,1
"8:43 / 9:07am @ ushuaia, tierra del fuego, argentina https://t.co/gchhdsvzml",-54.8,-68.3,1
"just posted a photo @ ushuaia, tierra del fuego, argentina https://t.co/sccpkkhj2o",-54.8,-68.3,1
"#running #ushuaia #laciudadqueelegimos #adidas @ ushuaia, tierra del… https://t.co/d6gnawd9n8",-54.8,-68.3,1
"🌳🍃 @ ushuaia, tierra del fuego, argentina https://t.co/firjdxe17z",-54.8,-68.3,1
"6:30 morning view sin filtro desde la ventana @ ushuaia, tierra del… https://t.co/gfzfbhmjej",-54.8,-68.3,1
"just posted a photo @ ushuaia, tierra del fuego, argentina https://t.co/r80hqfknzf",-54.8,-68.3,1
"fuimos uno con ese arrayán... 🍁🍀 en ushuaia, tierra del fuego,… https://t.co/pm1k90jkxz",-54.8,-68.3,1
"all the night... aunque suena mejor oldenait en lodge 54 sur, tierra… https://t.co/4s6d8q4n1i",-54.59946494,-68.03157651,1
"acaba de publicar una foto en ushuaia, tierra del fuego, argentina https://t.co/91c5pz88ll",-54.8,-68.3,1
"actividad de la tarde noche!  vamos con la lista 203 del partido obrero! @ ushuaia, tierra del… https://t.co/4dqetdm6cx",-54.83256,-68.35602,1
"compro aire y si es puro pago mucho más!  ... @ ushuaia, tierra del… https://t.co/oqljgb0esp",-54.8,-68.3,1
"es endemoniadamente caro lo que sos . . . @ ushuaia, tierra del… https://t.co/4tst7z5tc7",-54.8,-68.3,1
"muita neve na rua. vamos ao parque nacional. @ ushuaia, tierra del fuego, argentina https://t.co/jttrgotgxw",-54.8,-68.3,1
"cumple feliz euu_tthiago_10 en ushuaia, tierra del fuego, argentina https://t.co/bnb0xomkxp",-54.8,-68.3,1
"i'm at centro de tierra blanca in tierra blanca, veracruz-llave https://t.co/aucnivigje",18.44912549,-96.35606759,2
"⚓🌴😏 @ tierra blanca,ver. https://t.co/lwtlcfkf0u",18.45514,-96.35375,2
#amigos @ instituto tecnologico superior de tierra blanca https://t.co/zh8evaluhy,18.43631217,-96.34437559,2
"🤓🤓🤓 @ tierra blanca, veracruz https://t.co/i8dlgqvtwp",18.45162807,-96.35268558,2
"surfer 🏄🏻  . . #fridaymorning ericfragaa #brother  📷📸 en tierra blanca, oaxaca, mexico https://t.co/1nsior2xrz",18.4572,-96.3478,2
"acaba de publicar una foto en tierra del fuego, argentina https://t.co/7aopj43plk",-54.28820686,-67.63434428,3
"acaba de publicar una foto en tierra del fuego, argentina https://t.co/iqzoa3bvkh",-54.28820686,-67.63434428,3
"ready to day. @ tierra del fuego, argentina https://t.co/t7fojbkpcu",-54.28820686,-67.63434428,3
"amanece que no es poco. en tierra del fuego, argentina https://t.co/3v5v54shnu",-54.28820686,-67.63434428,3
he decidido que voy a vivir esta vida algún tiempo ❄️ *ese día saque muchas fotos 😁😁* en tierra… https://t.co/xxsu1hv2zo,-54.28820686,-67.63434428,3
"just posted a photo @ tierra del fuego, argentina https://t.co/tws6bfhdbb",-54.28820686,-67.63434428,3
"""desenfoque"" @ tierra del fuego, argentina https://t.co/wlniavgfvp",-54.28820686,-67.63434428,3
"😁😁😁 en ocaña, tierra que amaña https://t.co/mmne94dstv",8.23606,-73.3515,4
