tweet_text,geo_latitude,geo_longitude,hotspot_id
valle edén: uno de los lugares más hermosos de nuestro uruguay ❤️ @ valle edén https://t.co/74at7fi971,-31.8233,-56.1772,1
cuando descubris que los trolls viven en el valle de la luna... @ valle de la luna talampaya https://t.co/5m2re9faik,-30.6319264,-67.4800159,2
foto de hoy en un paseo express :) @ valle de cochamó https://t.co/vbnz0wv9qo,-41.49311,-72.305,3
un día muy soleado 😃🇦🇷🇨🇱 @ valle nevado ski resort https://t.co/xta3xfydza,-33.34656057,-70.25040926,4
"las fotos #trashthedress de samy y mede en valle nevado son un encanto, ellos se casaron en… https://t.co/u3jrr1uygk",-33.3547,-70.2498,4
atardecer desde el río elqui @ valle de elqui https://t.co/qlpa2ipvyc,-29.96709337,-70.96710382,5
"la doñita con el nieto que más quiere y otro al que también quiere, pero no tanto. en valle de… https://t.co/hyiptpd89x",9.21667,-66.0,6
mas que genial nuestro dia de caminata! 💪✌ @ valle de la luna rojo https://t.co/sav4f9uzn2,-39.02894,-67.57592,7
"para un buen sábado, atardecer en el valle de la luna. en valle de la luna https://t.co/9zufq3xmji",-22.9112,-68.32303,8
el mas lindo lugar del mundo esta en chile !! @ valle de la luna https://t.co/fbtpokerqr,-22.9112,-68.32303,8
"un día nublado en el valle, perfecto para una copa de vino tinto #vinosdubacano #vinomexicano… https://t.co/imt671ivin",32.08968295,-116.58646345,9
aventuras que nos esperan @selenegleez #pelirroja @ el cielo valle de guadalupe https://t.co/mefgfadch8,32.06162796,-116.64759636,9
la felicidad no tiene precio  los amo inmensamente 😘😍❤💑👫 #familia en tardes caleñas - rozó valle https://t.co/fxmexzlr7l,3.61639,-76.3892,10
con mi parcerita alexita618   que buen parche.. @ lago calima el darien-valle https://t.co/p1shgxtfxa,3.93121499,-76.48484017,10
#sinfiltro #nofilter #alnatural @ lago calima el darien-valle https://t.co/pqtw9jppkd,3.93121499,-76.48484017,10
"just posted a photo @ los ceibos, valle del cauca, colombia https://t.co/pwmdwxgm0y",3.61944,-76.1967,10
