tweet_text,geo_latitude,geo_longitude,hotspot_id
felíz cumpleaños mamá @ plaza volcán https://t.co/s1arjdyzze,13.71557902,-89.27839928,1
riquisimo plato! @ la pampa - el volcán https://t.co/qc3e1nxol8,13.71723529,-89.275084,1
just posted a photo @ plaza volcán https://t.co/yxqwecd8su,13.71557902,-89.27839928,1
"i'm at plaza volcán in santa tecla, la libertad https://t.co/my1oa3viki",13.71575698,-89.27838321,1
🎓 @ volcán el boquerón https://t.co/7eanbnrhzp,13.80378613,-89.23063154,1
⒍ #wesupportlouis ⒎ arsenal ⒏ volcán de fuego ⒐ #premierleague ⒑ benzema  2017/3/4 15:33 cst #trndnl https://t.co/2cjzebhizv,14.618,-90.5249,2
⒍ #jutiapa ⒎ manfred russell ⒏ volcán de fuego ⒐ #l3renmistiempos ⒑ los altos  2017/5/26 16:15 cst #trndnl https://t.co/2cjzebhizv,14.618,-90.5249,2
⒍ el salvador ⒎ #riplalicdelmal ⒏ volcán de fuego ⒐ #jutiapa ⒑ ministro de gobernación  2017/5/26 23:35 cst https://t.co/2cjzebhizv,14.618,-90.5249,2
⒍ #traficovn ⒎ #expomueble2017 ⒏ volcán de fuego ⒐ congreso ⒑ james rodríguez  2017/7/12 08:16 cst #trndnl https://t.co/2cjzebhizv,14.618,-90.5249,2
⒈ #mixco ⒉ volcán acatenango ⒊ meryl streep ⒋ #mientrashacefrioyo ⒌ #goldenglobe  2017/1/9 07:50 cst #trndnl https://t.co/2cjzebhizv,14.618,-90.5249,2
⒈ #mixco ⒉ volcán acatenango ⒊ meryl streep ⒋ #mientrashacefrioyo ⒌ #goldenglobe  2017/1/9 07:50 cst #trndnl https://t.co/2cjzebhizv,14.618,-90.5249,2
visitar un volcán activo ✔️ #volcanpacaya #guatemala @ crater volcan de pacaya https://t.co/axcmqlrgph,14.38729835,-90.60202413,2
"mis abuelos y yo ♡♡♡ @ volcán, panama https://t.co/u78mo1fwtg",8.76667,-82.6333,3
"atardecer. volcán. @ paso ancho, volcan chiriqui https://t.co/v4srjscfdq",8.81518862,-82.62758209,3
"volcán allá nos vemos en la concepción, chiriqui, panama https://t.co/cbu8pqbsu4",8.51667,-82.6167,3
la cocina de la tierra #cerrobrujogourmet #volcán #chiriquí #panamá #tierrasaltas #farmtotable… https://t.co/e3p81wazsw,8.70736,-82.6249,3
"primer luna llena de otoño  en el volcán osorno y lago llanquihue @ frutillar, chile https://t.co/l4xwflhnr9",-41.1167,-73.05,4
"en el lago llanquihue, segundo lago más grande sudamérica y atrás el volcán osorno 🏔🌋⛰ @ puerto… https://t.co/qnydrskxn1",-41.3167,-72.9833,4
"todos los días al levantarme, éste era mi paisaje... #vacaciones volcán osorno @ puerto varas,… https://t.co/gp848qfdqw",-41.3167,-72.9833,4
subindo o vulcão osorno em centro de ski y montaña volcán osorno https://t.co/0sbjnpuctk,-41.12780132,-72.52954951,4
jajaa volcán volcán volcán jajajajajaja chile es lo máximo @ camino… https://t.co/pgwa3vzvdf,-41.22416687,-72.64888763,4
"en pleno invierno 🍃🍂🍁 @ el volcán, san luis, argentina https://t.co/55vrifmgv2",-33.25,-66.2,5
el majestuoso oriente ecuatoriano!!! al fondo el volcán reventador!… https://t.co/vaw5vh3ten,-0.983333,-77.8167,6
volcán tolhuaca junto a nuestros amigos de andesprofundo @alerceoutdoor grunen_outdoor… https://t.co/lsbzuljgff,-38.31,-71.645,7
"volcán villarrica, poco antes de la noche #chile #travelphoto #turismo #viajes #ironmanpucon… https://t.co/kqoccxsmt2",-39.275686,-71.9748187,8
"nosotros, el lago villarrica y el volcán acompañándonos 😜😜😜🌞🌞🌞 @ playa blanca villarrica https://t.co/3eoruxqw4x",-39.2667812,-72.22387399,8
volcán villarrica/quitralpillán 🌋 #hiking #andinismo #chile… https://t.co/t4zt1a5nju,-39.27363,-71.97151,8
regrann from @brad_chenzo  -  volcán 🌋 fit lo creamos para ustedes muy pronto en nuestro cafetín… https://t.co/i0wazt5wvt,10.33919,-68.73879,9
ala y volcán @ mexico https://t.co/pjpq38gxrq,23.316667,-102.366667,10
